日期,行业,资源类型,地区,排放量(吨),能源消耗(千瓦时),GDP(万元),人口(人),温度(摄氏度),湿度(%),政策因子,技术因子
2024-01-01,制造业,煤炭,华北,150.5,5000,80000,2000000,15,45,1.0,0.95
2024-01-01,能源,石油,华东,200.3,8000,120000,2500000,18,60,0.95,0.90
2024-01-01,交通,天然气,华南,80.2,3000,60000,1500000,22,70,1.05,0.98
2024-01-01,农业,电力,华中,45.8,2000,40000,1800000,12,55,1.02,0.92
2024-01-01,建筑,煤炭,西南,120.6,4500,70000,1200000,20,65,0.98,0.88
2024-01-02,制造业,煤炭,华北,148.9,4950,80500,2001000,14,48,1.0,0.95
2024-01-02,能源,石油,华东,198.7,7950,121000,2502000,17,62,0.95,0.90
2024-01-02,交通,天然气,华南,79.8,2980,60200,1501000,21,72,1.05,0.98
2024-01-02,农业,电力,华中,46.2,2020,40200,1802000,11,57,1.02,0.92
2024-01-02,建筑,煤炭,西南,119.4,4480,70300,1201000,19,67,0.98,0.88 