时间戳,设备ID,设备类型,能源类型,消耗量,单位,排放因子,行业,地区,操作员,备注
2024-01-01 08:00:00,DEV001,锅炉,煤炭,500,千克,0.732,制造业,华北,张三,正常生产
2024-01-01 08:00:00,DEV002,发电机,柴油,200,升,2.68,能源,华东,李四,发电机组
2024-01-01 08:00:00,DEV003,空调,电力,150,千瓦时,0.583,服务业,华南,王五,办公区域
2024-01-01 08:00:00,DEV004,烘干机,天然气,80,立方米,1.96,农业,华中,赵六,农产品加工
2024-01-01 08:00:00,DEV005,运输车,汽油,100,升,2.31,交通,西南,钱七,货物运输
2024-01-01 09:00:00,DEV001,锅炉,煤炭,480,千克,0.732,制造业,华北,张三,正常生产
2024-01-01 09:00:00,DEV002,发电机,柴油,195,升,2.68,能源,华东,李四,发电机组
2024-01-01 09:00:00,DEV003,空调,电力,145,千瓦时,0.583,服务业,华南,王五,办公区域
2024-01-01 09:00:00,DEV004,烘干机,天然气,78,立方米,1.96,农业,华中,赵六,农产品加工
2024-01-01 09:00:00,DEV005,运输车,汽油,98,升,2.31,交通,西南,钱七,货物运输 